date,time,Reconstructed_Total
23-09-2024,11:40 - 11:45,214
23-09-2024,11:45 - 11:50,215
23-09-2024,11:50 - 11:55,216
23-09-2024,11:55 - 12:00,217
23-09-2024,12:00 - 12:05,211
23-09-2024,12:05 - 12:10,205
23-09-2024,12:10 - 12:15,209
23-09-2024,12:15 - 12:20,208
23-09-2024,12:20 - 12:25,198
23-09-2024,12:25 - 12:30,201
23-09-2024,12:30 - 12:35,213
23-09-2024,12:35 - 12:40,215
23-09-2024,12:40 - 12:45,210
23-09-2024,12:45 - 12:50,204
23-09-2024,12:50 - 12:55,203
23-09-2024,12:55 - 13:00,203
23-09-2024,13:00 - 13:05,199
23-09-2024,13:05 - 13:10,186
23-09-2024,13:10 - 13:15,177
23-09-2024,13:15 - 13:20,189
23-09-2024,13:20 - 13:25,214
23-09-2024,13:25 - 13:30,225
23-09-2024,13:30 - 13:35,220
23-09-2024,13:35 - 13:40,205
23-09-2024,13:40 - 13:45,199
23-09-2024,13:45 - 13:50,217
23-09-2024,13:50 - 13:55,239
23-09-2024,13:55 - 14:00,242
23-09-2024,14:00 - 14:05,233
23-09-2024,14:05 - 14:10,225
23-09-2024,14:10 - 14:15,225
23-09-2024,14:15 - 14:20,228
23-09-2024,14:20 - 14:25,228
23-09-2024,14:25 - 14:30,225
23-09-2024,14:30 - 14:35,219
23-09-2024,14:35 - 14:40,211
23-09-2024,14:40 - 14:45,201
23-09-2024,14:45 - 14:50,190
23-09-2024,14:50 - 14:55,181
23-09-2024,14:55 - 15:00,176
24-09-2024,06:00 - 06:05,144
24-09-2024,06:05 - 06:10,143
24-09-2024,06:10 - 06:15,139
24-09-2024,06:15 - 06:20,132
24-09-2024,06:20 - 06:25,126
24-09-2024,06:25 - 06:30,126
24-09-2024,06:30 - 06:35,136
24-09-2024,06:35 - 06:40,153
24-09-2024,06:40 - 06:45,171
24-09-2024,06:45 - 06:50,182
24-09-2024,06:50 - 06:55,183
24-09-2024,06:55 - 07:00,179
24-09-2024,07:00 - 07:05,177
24-09-2024,07:05 - 07:10,184
24-09-2024,07:10 - 07:15,198
24-09-2024,07:15 - 07:20,218
24-09-2024,07:20 - 07:25,240
24-09-2024,07:25 - 07:30,261
24-09-2024,07:30 - 07:35,280
24-09-2024,07:35 - 07:40,293
24-09-2024,07:40 - 07:45,298
24-09-2024,07:45 - 07:50,290
24-09-2024,07:50 - 07:55,266
24-09-2024,07:55 - 08:00,230
24-09-2024,08:00 - 08:05,197
24-09-2024,08:05 - 08:10,186
24-09-2024,08:10 - 08:15,199
24-09-2024,08:15 - 08:20,220
24-09-2024,08:20 - 08:25,226
24-09-2024,08:25 - 08:30,212
24-09-2024,08:30 - 08:35,201
24-09-2024,08:35 - 08:40,215
24-09-2024,08:40 - 08:45,240
24-09-2024,08:45 - 08:50,241
24-09-2024,08:50 - 08:55,221
24-09-2024,08:55 - 09:00,213
24-09-2024,09:00 - 09:05,218
24-09-2024,09:05 - 09:10,224
24-09-2024,09:10 - 09:15,220
24-09-2024,09:15 - 09:20,212
24-09-2024,09:20 - 09:25,206
24-09-2024,09:25 - 09:30,201
24-09-2024,09:30 - 09:35,194
24-09-2024,09:35 - 09:40,190
24-09-2024,09:40 - 09:45,194
24-09-2024,09:45 - 09:50,200
24-09-2024,09:50 - 09:55,199
24-09-2024,09:55 - 10:00,192
24-09-2024,10:00 - 10:05,190
24-09-2024,10:05 - 10:10,195
24-09-2024,10:10 - 10:15,202
24-09-2024,10:15 - 10:20,208
24-09-2024,10:20 - 10:25,211
24-09-2024,10:25 - 10:30,212
24-09-2024,10:30 - 10:35,210
24-09-2024,10:35 - 10:40,206
24-09-2024,10:40 - 10:45,200
24-09-2024,10:45 - 10:50,195
24-09-2024,10:50 - 10:55,195
24-09-2024,10:55 - 11:00,202
24-09-2024,11:00 - 11:05,212
24-09-2024,11:05 - 11:10,216
24-09-2024,11:10 - 11:15,214
24-09-2024,11:15 - 11:20,210
24-09-2024,11:20 - 11:25,207
24-09-2024,11:25 - 11:30,207
24-09-2024,11:30 - 11:35,211
24-09-2024,11:35 - 11:40,218
24-09-2024,11:40 - 11:45,223
24-09-2024,11:45 - 11:50,218
24-09-2024,11:50 - 11:55,208
24-09-2024,11:55 - 12:00,197
24-09-2024,12:00 - 12:05,195
24-09-2024,12:05 - 12:10,209
24-09-2024,12:10 - 12:15,224
24-09-2024,12:15 - 12:20,224
24-09-2024,12:20 - 12:25,214
24-09-2024,12:25 - 12:30,202
24-09-2024,12:30 - 12:35,195
24-09-2024,12:35 - 12:40,197
24-09-2024,12:40 - 12:45,203
24-09-2024,12:45 - 12:50,214
24-09-2024,12:50 - 12:55,225
24-09-2024,12:55 - 13:00,231
24-09-2024,13:00 - 13:05,225
24-09-2024,13:05 - 13:10,201
24-09-2024,13:10 - 13:15,178
24-09-2024,13:15 - 13:20,178
24-09-2024,13:20 - 13:25,202
24-09-2024,13:25 - 13:30,231
24-09-2024,13:30 - 13:35,250
24-09-2024,13:35 - 13:40,250
24-09-2024,13:40 - 13:45,230
24-09-2024,13:45 - 13:50,205
24-09-2024,13:50 - 13:55,195
24-09-2024,13:55 - 14:00,199
24-09-2024,14:00 - 14:05,209
24-09-2024,14:05 - 14:10,220
24-09-2024,14:10 - 14:15,222
24-09-2024,14:15 - 14:20,216
24-09-2024,14:20 - 14:25,203
24-09-2024,14:25 - 14:30,187
24-09-2024,14:30 - 14:35,175
24-09-2024,14:35 - 14:40,173
24-09-2024,14:40 - 14:45,179
24-09-2024,14:45 - 14:50,191
24-09-2024,14:50 - 14:55,202
24-09-2024,14:55 - 15:00,206
25-09-2024,06:00 - 06:05,175
25-09-2024,06:05 - 06:10,159
25-09-2024,06:10 - 06:15,153
25-09-2024,06:15 - 06:20,165
25-09-2024,06:20 - 06:25,199
25-09-2024,06:25 - 06:30,240
25-09-2024,06:30 - 06:35,267
25-09-2024,06:35 - 06:40,267
25-09-2024,06:40 - 06:45,246
25-09-2024,06:45 - 06:50,219
25-09-2024,06:50 - 06:55,195
25-09-2024,06:55 - 07:00,181
25-09-2024,07:00 - 07:05,174
25-09-2024,07:05 - 07:10,175
25-09-2024,07:10 - 07:15,187
25-09-2024,07:15 - 07:20,208
25-09-2024,07:20 - 07:25,237
25-09-2024,07:25 - 07:30,265
25-09-2024,07:30 - 07:35,275
25-09-2024,07:35 - 07:40,273
25-09-2024,07:40 - 07:45,279
25-09-2024,07:45 - 07:50,277
25-09-2024,07:50 - 07:55,250
25-09-2024,07:55 - 08:00,216
25-09-2024,08:00 - 08:05,195
